CityObject,Zone
<http://localhost/berlin/cityobject/UUID_c1250c71-22c6-4c0f-871e-e3ef609d71b4/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_e2535b11-73f9-4de2-a426-64989f84deb3/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_3d580df4-bb62-458f-8059-8cad799b7d68/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_401f4aa8-7414-4617-b6cb-3ea5d92b62b4/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_a2aa6b5a-2c4e-4e7a-8152-beddc8599695/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_4632fe21-eced-4e41-8272-7da882fb8d80/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_e5d2c858-678e-429b-947f-23917e8cf753/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_30f346ca-cd1c-4c2e-b9b8-899f8edf9951/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_7305452d-5e9c-4dc7-9d53-76dd4f2e64cd/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_d22b5603-aceb-4a98-8aa5-7f2edcc5cfa0/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_29666be9-30a5-4c14-915f-4d3e515f41f3/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_ebd312a7-a83d-4ee8-a714-39c630dfc5e1/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_e1824852-ea6f-4b1c-a90c-c31b76359820/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_8478fa9c-6220-4826-852e-06cceb8ab8cd/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_9170c416-a855-4f92-bc49-1a03f42f4937/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_0c83fe83-1d14-403b-80f4-9b0218f49ad2/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_1467c2ea-bf27-4b76-9aa0-de72ff90a576/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_79984a95-0b70-4d84-b694-778d32470023/>,WHITE
<http://localhost/berlin/cityobject/UUID_525b017b-37cf-4f6a-83a8-a32b9380713a/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_2f9f8552-7161-4348-9a6e-a6cb6ca5b5dd/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_14d8dd04-5939-4d26-b39f-d297b0438d7d/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_c70d2980-a5c9-4a18-9d9e-0df80feb71bd/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_8ad931ee-493f-4093-bfae-5c1c5bf222d2/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_ad38aa13-d58f-4e5b-99dd-f233ae894627/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_cd1a133d-b623-4f46-b75a-d909bd9e07b4/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_0de0eca8-cac2-414d-9aa3-6ba2a26b7c17/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_3004f8b4-bcb2-4d6c-91f0-87878c9cb07e/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_a3403d9b-304b-4022-8f4a-0b9c6f4b052e/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_3bb98a9a-4b0f-431a-b682-a5b949a7b1fd/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_1e97ef6a-4231-494d-a8f3-50b7ab550598/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_57c789be-ad7c-49be-9ead-76ce7c3292ec/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_8da38c00-f334-4b50-b4d8-267b6d1f94d7/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_8faeff0d-1cc5-4da9-a2d5-85784a2d879f/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_94c46440-f998-48d4-a6e4-b07e31d6367f/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_03150e9a-8bd8-4f88-93ff-9c106681e24e/>,COMMERCIAL
